1st,2nd,3rd,4th,Prize,1 / Probability
1,3,7,2,$655.00,983.38
1,3,7,4,"$1,146.00",1720.92
1,3,7,5,"$1,474.00",2212.61
1,3,7,6,"$1,637.00",2458.45
1,3,7,8,"$1,965.00",2950.14
1,3,7,9,"$2,456.00",3687.68
1,3,7,10,"$3,275.00",4916.91
1,3,7,11,"$4,093.00",6146.13
1,3,7,12,"$4,912.00",7375.36
1,3,8,2,$721.00,1082.04
1,3,8,4,"$1,261.00",1893.58
1,3,8,5,"$1,621.00",2434.60
1,3,8,6,"$1,802.00",2705.11
1,3,8,7,"$1,982.00",2975.62
1,3,8,9,"$2,702.00",4057.66
1,3,8,10,"$3,603.00",5410.22
1,3,8,11,"$4,504.00",6762.77
1,3,8,12,"$5,405.00",8115.33
1,3,9,2,$918.00,1378.03
1,3,9,4,"$1,606.00",2411.55
1,3,9,5,"$2,065.00",3100.57
1,3,9,6,"$2,294.00",3445.08
1,3,9,7,"$2,524.00",3789.58
1,3,9,8,"$2,753.00",4134.09
1,3,9,10,"$4,589.00",6890.15
1,3,9,11,"$5,736.00",8612.69
1,3,9,12,"$6,883.00",10335.22
1,3,10,2,"$1,246.00",1871.34
1,3,10,4,"$2,181.00",3274.85
1,3,10,5,"$2,804.00",4210.52
1,3,10,6,"$3,116.00",4678.35
1,3,10,7,"$3,427.00",5146.19
1,3,10,8,"$3,739.00",5614.02
1,3,10,9,"$4,674.00",7017.53
1,3,10,11,"$7,789.00",11695.88
1,3,11,2,"$1,575.00",2364.65
1,3,11,4,"$2,756.00",4138.14
1,3,11,5,"$3,543.00",5320.46
1,3,11,6,"$3,937.00",5911.63
1,3,11,7,"$4,331.00",6502.79
1,3,11,8,"$4,724.00",7093.95
1,3,11,9,"$5,906.00",8867.44
1,3,11,10,"$7,874.00",11823.25
1,3,11,12,"$11,811.00",17734.87
1,3,12,2,"$1,903.00",2857.96
1,3,12,4,"$3,331.00",5001.43
1,3,12,5,"$4,283.00",6430.41
1,3,12,6,"$4,758.00",7144.90
1,3,12,7,"$5,234.00",7859.39
1,3,12,8,"$5,710.00",8573.89
1,3,12,9,"$7,138.00",10717.36
1,3,12,10,"$9,517.00",14289.82
1,3,12,11,"$11,896.00",17862.25
1,4,2,3,$390.00,585.71
1,4,2,5,$702.00,1054.28
1,4,2,6,$780.00,1171.42
1,4,2,7,$858.00,1288.56
1,4,2,8,$936.00,1405.70
1,4,2,9,"$1,170.00",1757.13
1,4,2,10,"$1,560.00",2342.84
1,4,2,11,"$1,950.00",2928.55
1,4,2,12,"$2,340.00",3514.26
1,4,3,2,$415.00,623.48
1,4,3,5,$934.00,1402.83
1,4,3,6,"$1,038.00",1558.70
1,4,3,7,"$1,142.00",1714.57
1,4,3,8,"$1,246.00",1870.44
1,4,3,9,"$1,557.00",2338.05
1,4,3,10,"$2,076.00",3117.40
1,4,3,11,"$2,595.00",3896.75
1,4,3,12,"$3,114.00",4676.10
1,4,5,2,$828.00,1243.13
1,4,5,3,"$1,035.00",1553.91
1,4,5,6,"$2,070.00",3107.82
1,4,5,7,"$2,277.00",3418.60
1,4,5,8,"$2,484.00",3729.39
1,4,5,9,"$3,105.00",4661.73
1,4,5,10,"$4,140.00",6215.65
1,4,5,11,"$5,174.00",7769.55
1,4,5,12,"$6,209.00",9323.47
1,4,6,2,$931.00,1398.04
1,4,6,3,"$1,164.00",1747.55
1,4,6,5,"$2,095.00",3145.59
1,4,6,7,"$2,560.00",3844.61
1,4,6,8,"$2,793.00",4194.12
1,4,6,9,"$3,492.00",5242.65
1,4,6,10,"$4,655.00",6990.21
1,4,6,11,"$5,819.00",8737.76
1,4,6,12,"$6,983.00",10485.31
1,4,7,3,"$1,293.00",1941.19
1,4,7,5,"$2,327.00",3494.15
1,4,7,6,"$2,586.00",3882.38
1,4,7,8,"$3,103.00",4658.86
1,4,7,9,"$3,878.00",5823.58
1,4,7,10,"$5,171.00",7764.76
1,4,7,11,"$6,464.00",9705.96
1,4,7,12,"$7,757.00",11647.15
1,4,8,2,"$1,137.00",1707.87
1,4,8,3,"$1,422.00",2134.83
1,4,8,5,"$2,559.00",3842.70
1,4,8,6,"$2,844.00",4269.67
1,4,8,7,"$3,128.00",4696.63
1,4,8,9,"$4,265.00",6404.50
1,4,8,10,"$5,687.00",8539.33
1,4,8,11,"$7,109.00",10674.16
1,4,8,12,"$8,531.00",12809.00
1,4,9,2,"$1,447.00",2172.60
1,4,9,3,"$1,809.00",2715.75
1,4,9,5,"$3,256.00",4888.35
1,4,9,6,"$3,617.00",5431.51
1,4,9,7,"$3,979.00",5974.66
1,4,9,8,"$4,341.00",6517.81
1,4,9,10,"$7,235.00",10863.01
1,4,9,11,"$9,043.00",13578.76
1,4,9,12,"$10,852.00",16294.53
1,4,10,2,"$1,963.00",2947.16
1,4,10,3,"$2,453.00",3683.95
1,4,10,5,"$4,416.00",6631.12
1,4,10,6,"$4,907.00",7367.91
1,4,10,7,"$5,398.00",8104.70
1,4,10,8,"$5,888.00",8841.49
1,4,10,9,"$7,360.00",11051.86
1,4,10,11,"$12,267.00",18419.77
1,4,10,12,"$14,721.00",22103.75
1,4,11,2,"$2,479.00",3721.73
1,4,11,3,"$3,098.00",4652.16
1,4,11,5,"$5,577.00",8373.88
1,4,11,6,"$6,197.00",9304.32
1,4,11,7,"$6,816.00",10234.74
1,4,11,8,"$7,436.00",11165.18
1,4,11,9,"$9,295.00",13956.46
1,4,11,10,"$12,393.00",18608.63
1,4,11,12,"$18,589.00",27912.92
1,4,12,2,"$2,994.00",4496.29
1,4,12,3,"$3,743.00",5620.36
1,4,12,5,"$6,738.00",10116.64
1,4,12,6,"$7,486.00",11240.72
1,4,12,7,"$8,235.00",12364.79
1,4,12,8,"$8,983.00",13488.87
1,4,12,9,"$11,229.00",16861.07
1,4,12,10,"$14,972.00",22481.46
1,4,12,11,"$18,715.00",28101.81
1,5,2,3,$538.00,808.16
1,5,2,6,"$1,076.00",1616.32
1,5,2,7,"$1,184.00",1777.95
1,5,2,8,"$1,292.00",1939.58
1,5,2,9,"$1,615.00",2424.47
1,5,2,10,"$2,153.00",3232.63
1,5,2,11,"$2,691.00",4040.79
1,5,2,12,"$3,229.00",4848.95
1,5,3,2,$572.00,858.22
1,5,3,4,"$1,000.00",1501.89
1,5,3,6,"$1,429.00",2145.56
1,5,3,7,"$1,572.00",2360.11
1,5,3,8,"$1,715.00",2574.67
1,5,3,9,"$2,143.00",3218.34
1,5,3,10,"$2,858.00",4291.12
1,5,3,11,"$3,572.00",5363.89
1,5,3,12,"$4,287.00",6436.68
1,5,4,2,$854.00,1281.62
1,5,4,3,"$1,067.00",1602.02
1,5,4,6,"$2,134.00",3204.04
1,5,4,7,"$2,347.00",3524.45
1,5,4,8,"$2,561.00",3844.85
1,5,4,9,"$3,201.00",4806.07
1,5,4,10,"$4,268.00",6408.09
1,5,4,11,"$5,335.00",8010.11
1,5,4,12,"$6,402.00",9612.13
1,5,6,2,"$1,276.00",1916.71
1,5,6,3,"$1,596.00",2395.89
1,5,6,4,"$2,234.00",3354.24
1,5,6,7,"$3,510.00",5270.95
1,5,6,8,"$3,829.00",5750.13
1,5,6,9,"$4,787.00",7187.66
1,5,6,10,"$6,382.00",9583.55
1,5,6,11,"$7,978.00",11979.43
1,5,6,12,"$9,574.00",14375.31
1,5,7,2,"$1,417.00",2128.41
1,5,7,3,"$1,772.00",2660.51
1,5,7,4,"$2,481.00",3724.71
1,5,7,6,"$3,544.00",5321.01
1,5,7,8,"$4,252.00",6385.22
1,5,7,9,"$5,316.00",7981.52
1,5,7,10,"$7,087.00",10642.03
1,5,7,11,"$8,859.00",13302.54
1,5,7,12,"$10,631.00",15963.04
1,5,8,2,"$1,558.00",2340.10
1,5,8,3,"$1,948.00",2925.13
1,5,8,4,"$2,727.00",4095.18
1,5,8,6,"$3,896.00",5850.26
1,5,8,7,"$4,286.00",6435.28
1,5,8,9,"$5,844.00",8775.39
1,5,8,10,"$7,792.00",11700.52
1,5,8,11,"$9,740.00",14625.63
1,5,8,12,"$11,688.00",17550.79
1,5,9,2,"$1,981.00",2975.19
1,5,9,3,"$2,477.00",3718.99
1,5,9,6,"$4,954.00",7437.99
1,5,9,7,"$5,449.00",8181.79
1,5,9,8,"$5,944.00",8925.58
1,5,9,10,"$9,907.00",14875.97
1,5,9,11,"$12,384.00",18594.96
1,5,9,12,"$14,861.00",22313.96
1,5,10,2,"$2,686.00",4033.68
1,5,10,3,"$3,358.00",5042.10
1,5,10,4,"$4,701.00",7058.94
1,5,10,6,"$6,716.00",10084.20
1,5,10,7,"$7,387.00",11092.62
1,5,10,8,"$8,059.00",12101.04
1,5,10,9,"$10,074.00",15126.30
1,5,10,11,"$16,790.00",25210.51
1,5,10,12,"$20,148.00",30252.61
1,5,11,2,"$3,391.00",5092.17
1,5,11,3,"$4,239.00",6365.21
1,5,11,4,"$5,935.00",8911.29
1,5,11,6,"$8,478.00",12730.42
1,5,11,7,"$9,326.00",14003.46
1,5,11,8,"$10,174.00",15276.50
1,5,11,9,"$12,717.00",19095.63
1,5,11,10,"$16,956.00",25460.84
1,5,11,12,"$25,435.00",38191.26
1,5,12,2,"$4,096.00",6150.65
1,5,12,3,"$5,120.00",7688.32
1,5,12,4,"$7,168.00",10763.64
1,5,12,6,"$10,241.00",15376.62
1,5,12,7,"$11,265.00",16914.29
1,5,12,8,"$12,289.00",18451.95
1,5,12,9,"$15,361.00",23064.96
1,5,12,10,"$20,481.00",30753.24
1,5,12,11,"$25,601.00",38441.58
1,6,2,3,$613.00,919.88
1,6,2,4,$858.00,1287.84
1,6,2,5,"$1,103.00",1655.79
1,6,2,7,"$1,348.00",2023.74
1,6,2,8,"$1,470.00",2207.72
1,6,2,9,"$1,838.00",2759.65
1,6,2,10,"$2,451.00",3679.53
1,6,2,11,"$3,063.00",4599.42
1,6,2,12,"$3,676.00",5519.30
1,6,3,2,$650.00,976.10
1,6,3,4,"$1,138.00",1708.17
1,6,3,5,"$1,463.00",2196.22
1,6,3,7,"$1,788.00",2684.26
1,6,3,8,"$1,950.00",2928.29
1,6,3,9,"$2,438.00",3660.36
1,6,3,10,"$3,250.00",4880.48
1,6,3,11,"$4,063.00",6100.60
1,6,3,12,"$4,875.00",7320.72
1,6,4,2,$970.00,1456.48
1,6,4,3,"$1,212.00",1820.59
1,6,4,5,"$2,182.00",3277.07
1,6,4,8,"$2,910.00",4369.43
1,6,4,9,"$3,637.00",5461.78
1,6,4,10,"$4,850.00",7282.38
1,6,4,11,"$6,062.00",9102.97
1,6,4,12,"$7,275.00",10923.57
1,6,5,2,"$1,290.00",1936.86
1,6,5,3,"$1,612.00",2421.07
1,6,5,4,"$2,257.00",3389.50
1,6,5,7,"$3,547.00",5326.35
1,6,5,8,"$3,870.00",5810.57
1,6,5,9,"$4,837.00",7263.21
1,6,5,10,"$6,450.00",9684.27
1,6,5,11,"$8,062.00",12105.35
1,6,5,12,"$9,674.00",14526.42
1,6,7,2,"$1,610.00",2417.23
1,6,7,3,"$2,012.00",3021.54
1,6,7,4,"$2,817.00",4230.16
1,6,7,5,"$3,622.00",5438.78
1,6,7,8,"$4,830.00",7251.71
1,6,7,9,"$6,037.00",9064.63
1,6,7,10,"$8,049.00",12086.17
1,6,7,11,"$10,061.00",15107.73
1,6,7,12,"$12,074.00",18129.28
1,6,8,2,"$1,770.00",2657.42
1,6,8,3,"$2,212.00",3321.78
1,6,8,4,"$3,097.00",4650.49
1,6,8,5,"$3,982.00",5979.21
1,6,8,7,"$4,867.00",7307.92
1,6,8,9,"$6,637.00",9965.34
1,6,8,10,"$8,849.00",13287.13
1,6,8,11,"$11,061.00",16608.90
1,6,8,12,"$13,273.00",19930.68
1,6,9,2,"$2,250.00",3377.99
1,6,9,3,"$2,812.00",4222.49
1,6,9,4,"$3,937.00",5911.49
1,6,9,5,"$5,062.00",7600.49
1,6,9,7,"$6,187.00",9289.48
1,6,9,8,"$6,749.00",10133.98
1,6,9,10,"$11,248.00",16889.98
1,6,9,11,"$14,061.00",21112.46
1,6,9,12,"$16,873.00",25334.93
1,6,10,2,"$3,049.00",4578.94
1,6,10,3,"$3,812.00",5723.68
1,6,10,4,"$5,337.00",8013.15
1,6,10,5,"$6,861.00",10302.62
1,6,10,7,"$8,386.00",12592.10
1,6,10,8,"$9,148.00",13736.83
1,6,10,9,"$11,436.00",17171.04
1,6,10,11,"$19,059.00",28618.36
1,6,10,12,"$22,871.00",34342.07
1,6,11,2,"$3,849.00",5779.89
1,6,11,3,"$4,812.00",7224.86
1,6,11,4,"$6,736.00",10114.81
1,6,11,5,"$8,661.00",13004.76
1,6,11,8,"$11,548.00",17339.68
1,6,11,9,"$14,435.00",21674.58
1,6,11,10,"$19,246.00",28899.48
1,6,11,12,"$28,870.00",43349.16
1,6,12,2,"$4,649.00",6980.84
1,6,12,3,"$5,811.00",8726.05
1,6,12,4,"$8,136.00",12216.47
1,6,12,5,"$10,460.00",15706.90
1,6,12,7,"$12,785.00",19197.32
1,6,12,8,"$13,947.00",20942.54
1,6,12,9,"$17,434.00",26178.15
1,6,12,10,"$23,246.00",34904.26
1,6,12,11,"$29,057.00",43630.21
1,7,2,3,$687.00,1031.82
1,7,2,4,$962.00,1444.55
1,7,2,5,"$1,237.00",1857.28
1,7,2,6,"$1,374.00",2063.64
1,7,2,8,"$1,649.00",2476.37
1,7,2,9,"$2,062.00",3095.46
1,7,2,10,"$2,749.00",4127.29
1,7,2,11,"$3,436.00",5159.11
1,7,2,12,"$4,123.00",6190.93
1,7,3,2,$729.00,1094.18
1,7,3,4,"$1,275.00",1914.82
1,7,3,5,"$1,640.00",2461.91
1,7,3,6,"$1,822.00",2735.45
1,7,3,8,"$2,186.00",3282.55
1,7,3,9,"$2,733.00",4103.18
1,7,3,10,"$3,644.00",5470.91
1,7,3,11,"$4,554.00",6838.64
1,7,3,12,"$5,465.00",8206.37
1,7,4,2,"$1,087.00",1631.63
1,7,4,3,"$1,358.00",2039.54
1,7,4,5,"$2,445.00",3671.17
1,7,4,6,"$2,717.00",4079.08
1,7,4,8,"$3,260.00",4894.89
1,7,4,9,"$4,075.00",6118.62
1,7,4,10,"$5,433.00",8158.16
1,7,4,11,"$6,791.00",10197.70
1,7,4,12,"$8,150.00",12237.24
1,7,5,2,"$1,445.00",2169.08
1,7,5,3,"$1,806.00",2711.35
1,7,5,4,"$2,528.00",3795.89
1,7,5,6,"$3,611.00",5422.71
1,7,5,8,"$4,334.00",6507.24
1,7,5,9,"$5,417.00",8134.06
1,7,5,10,"$7,223.00",10845.41
1,7,5,11,"$9,029.00",13556.77
1,7,5,12,"$10,834.00",16268.12
1,7,6,2,"$1,624.00",2437.81
1,7,6,3,"$2,029.00",3047.26
1,7,6,4,"$2,841.00",4266.16
1,7,6,5,"$3,653.00",5485.07
1,7,6,8,"$4,871.00",7313.42
1,7,6,10,"$8,118.00",12189.03
1,7,6,11,"$10,147.00",15236.28
1,7,6,12,"$12,177.00",18283.54
1,7,8,2,"$1,981.00",2975.26
1,7,8,3,"$2,477.00",3719.07
1,7,8,4,"$3,468.00",5206.70
1,7,8,5,"$4,458.00",6694.33
1,7,8,6,"$4,954.00",7438.14
1,7,8,9,"$7,430.00",11157.22
1,7,8,10,"$9,907.00",14876.28
1,7,8,11,"$12,384.00",18595.34
1,7,8,12,"$14,861.00",22314.41
1,7,9,2,"$2,518.00",3781.43
1,7,9,3,"$3,148.00",4726.79
1,7,9,4,"$4,407.00",6617.50
1,7,9,5,"$5,666.00",8508.22
1,7,9,6,"$6,296.00",9453.57
1,7,9,8,"$7,555.00",11344.30
1,7,9,10,"$12,592.00",18907.17
1,7,9,11,"$15,740.00",23633.96
1,7,9,12,"$18,888.00",28360.75
1,7,10,2,"$3,413.00",5125.06
1,7,10,3,"$4,266.00",6406.32
1,7,10,4,"$5,973.00",8968.85
1,7,10,5,"$7,680.00",11531.38
1,7,10,6,"$8,533.00",12812.64
1,7,10,8,"$10,240.00",15375.18
1,7,10,9,"$12,799.00",19218.94
1,7,10,11,"$21,332.00",32031.57
1,7,10,12,"$25,599.00",38437.88
1,7,11,2,"$4,308.00",6468.68
1,7,11,3,"$5,385.00",8085.85
1,7,11,4,"$7,539.00",11320.20
1,7,11,5,"$9,693.00",14554.54
1,7,11,6,"$10,770.00",16171.70
1,7,11,8,"$12,924.00",19406.06
1,7,11,9,"$16,155.00",24257.54
1,7,11,10,"$21,540.00",32343.41
1,7,11,12,"$32,310.00",48515.19
1,7,12,2,"$5,203.00",7812.30
1,7,12,3,"$6,504.00",9765.38
1,7,12,4,"$9,105.00",13671.53
1,7,12,5,"$11,706.00",17577.69
1,7,12,6,"$13,007.00",19530.75
1,7,12,8,"$15,609.00",23436.93
1,7,12,9,"$19,511.00",29296.13
1,7,12,10,"$26,014.00",39061.58
1,7,12,11,"$32,518.00",48826.93
1,8,2,3,$762.00,1143.92
1,8,2,4,"$1,067.00",1601.49
1,8,2,5,"$1,371.00",2059.05
1,8,2,6,"$1,524.00",2287.84
1,8,2,7,"$1,676.00",2516.62
1,8,2,9,"$2,285.00",3431.76
1,8,2,11,"$3,809.00",5719.59
1,8,2,12,"$4,571.00",6863.51
1,8,3,2,$807.00,1212.43
1,8,3,4,"$1,413.00",2121.75
1,8,3,5,"$1,817.00",2727.96
1,8,3,6,"$2,019.00",3031.07
1,8,3,7,"$2,221.00",3334.17
1,8,3,9,"$3,028.00",4546.60
1,8,3,10,"$4,037.00",6062.13
1,8,3,11,"$5,047.00",7577.67
1,8,3,12,"$6,056.00",9093.20
1,8,4,2,"$1,203.00",1807.01
1,8,4,3,"$1,504.00",2258.76
1,8,4,5,"$2,708.00",4065.77
1,8,4,6,"$3,009.00",4517.53
1,8,4,7,"$3,309.00",4969.28
1,8,4,9,"$4,513.00",6776.29
1,8,4,10,"$6,017.00",9035.06
1,8,4,11,"$7,521.00",11293.82
1,8,4,12,"$9,026.00",13552.58
1,8,5,2,"$1,599.00",2401.59
1,8,5,3,"$1,999.00",3001.99
1,8,5,4,"$2,799.00",4202.79
1,8,5,6,"$3,999.00",6003.99
1,8,5,7,"$4,398.00",6604.39
1,8,5,9,"$5,998.00",9005.98
1,8,5,10,"$7,997.00",12007.97
1,8,5,11,"$9,996.00",15009.97
1,8,5,12,"$11,996.00",18011.95
1,8,6,2,"$1,797.00",2698.89
1,8,6,3,"$2,247.00",3373.61
1,8,6,4,"$3,145.00",4723.05
1,8,6,5,"$4,044.00",6072.49
1,8,6,7,"$4,943.00",7421.94
1,8,6,9,"$6,740.00",10120.82
1,8,6,10,"$8,987.00",13494.44
1,8,6,11,"$11,234.00",16868.04
1,8,6,12,"$13,481.00",20241.64
1,8,7,2,"$1,995.00",2996.18
1,8,7,3,"$2,494.00",3745.22
1,8,7,4,"$3,492.00",5243.31
1,8,7,5,"$4,490.00",6741.40
1,8,7,6,"$4,989.00",7490.45
1,8,7,9,"$7,483.00",11235.68
1,8,7,10,"$9,977.00",14980.89
1,8,7,11,"$12,471.00",18726.10
1,8,7,12,"$14,965.00",22471.35
1,8,9,2,"$2,787.00",4185.35
1,8,9,3,"$3,484.00",5231.68
1,8,9,4,"$4,878.00",7324.35
1,8,9,5,"$6,272.00",9417.03
1,8,9,6,"$6,968.00",10463.37
1,8,9,7,"$7,665.00",11509.70
1,8,9,10,"$13,937.00",20926.72
1,8,9,12,"$20,905.00",31390.08
1,8,10,2,"$3,777.00",5671.81
1,8,10,3,"$4,722.00",7089.76
1,8,10,4,"$6,610.00",9925.66
1,8,10,5,"$8,499.00",12761.56
1,8,10,6,"$9,443.00",14179.51
1,8,10,7,"$10,388.00",15597.46
1,8,10,9,"$14,165.00",21269.26
1,8,10,11,"$23,608.00",35448.80
1,8,10,12,"$28,330.00",42538.53
1,8,11,2,"$4,767.00",7158.27
1,8,11,3,"$5,959.00",8947.83
1,8,11,4,"$8,343.00",12526.96
1,8,11,5,"$10,726.00",16106.09
1,8,11,6,"$11,918.00",17895.65
1,8,11,7,"$13,110.00",19685.23
1,8,11,9,"$17,877.00",26843.48
1,8,11,10,"$23,836.00",35791.36
1,8,11,12,"$35,755.00",53686.95
1,8,12,2,"$5,757.00",8644.72
1,8,12,3,"$7,197.00",10805.90
1,8,12,4,"$10,075.00",15128.27
1,8,12,5,"$12,954.00",19450.64
1,8,12,6,"$14,393.00",21611.81
1,8,12,7,"$15,832.00",23773.02
1,8,12,9,"$21,590.00",32417.75
1,8,12,10,"$28,786.00",43223.62
1,8,12,11,"$35,983.00",54029.52
1,9,2,3,$986.00,1480.85
1,9,2,4,"$1,381.00",2073.19
1,9,2,5,"$1,775.00",2665.53
1,9,2,6,"$1,972.00",2961.70
1,9,2,7,"$2,170.00",3257.87
1,9,2,8,"$2,367.00",3554.04
1,9,2,10,"$3,945.00",5923.40
1,9,2,11,"$4,931.00",7404.25
1,9,2,12,"$5,917.00",8885.10
1,9,3,2,"$1,044.00",1567.80
1,9,3,4,"$1,827.00",2743.65
1,9,3,5,"$2,349.00",3527.55
1,9,3,6,"$2,610.00",3919.50
1,9,3,7,"$2,871.00",4311.45
1,9,3,8,"$3,132.00",4703.40
1,9,3,10,"$5,221.00",7839.00
1,9,3,11,"$6,526.00",9798.75
1,9,3,12,"$7,831.00",11758.49
1,9,4,2,"$1,554.00",2334.04
1,9,4,3,"$1,943.00",2917.55
1,9,4,5,"$3,497.00",5251.59
1,9,4,6,"$3,886.00",5835.10
1,9,4,7,"$4,275.00",6418.61
1,9,4,8,"$4,663.00",7002.12
1,9,4,10,"$7,772.00",11670.20
1,9,4,11,"$9,715.00",14587.76
1,9,5,2,"$2,065.00",3100.28
1,9,5,3,"$2,581.00",3875.35
1,9,5,4,"$3,613.00",5425.49
1,9,5,6,"$5,162.00",7750.71
1,9,5,7,"$5,678.00",8525.77
1,9,5,8,"$6,194.00",9300.85
1,9,5,10,"$10,324.00",15501.42
1,9,5,11,"$12,905.00",19376.77
1,9,5,12,"$15,485.00",23252.14
1,9,6,2,"$2,320.00",3483.40
1,9,6,3,"$2,900.00",4354.25
1,9,6,4,"$4,060.00",6095.96
1,9,6,5,"$5,220.00",7837.66
1,9,6,7,"$6,380.00",9579.36
1,9,6,8,"$6,960.00",10450.21
1,9,6,10,"$11,599.00",17417.02
1,9,6,11,"$14,499.00",21771.27
1,9,6,12,"$17,399.00",26125.55
1,9,7,2,"$2,575.00",3866.52
1,9,7,3,"$3,219.00",4833.15
1,9,7,4,"$4,506.00",6766.42
1,9,7,5,"$5,794.00",8699.68
1,9,7,6,"$6,438.00",9666.31
1,9,7,8,"$7,725.00",11599.57
1,9,7,10,"$12,875.00",19332.64
1,9,7,11,"$16,094.00",24165.80
1,9,7,12,"$19,313.00",28998.96
1,9,8,2,"$2,830.00",4249.64
1,9,8,3,"$3,538.00",5312.06
